have_first_name,have_middlename,have_lastname,have_cellphone,have_workphone,have_otherphone,primary_contact,have_email,have_secondary_email,have_address_line1,have_address_line2,city,state,zipcode,Profession,Speciality,experience,available_date,Student,Terms_and_conditions_accepted,Approved,Visible,Referral_Source,application_source,LE_Record_Type,created_date,modified_date,Counts
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Gorham,Maine,4038,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 12:30,7/14/16 12:30,87
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,DADE CITY,Florida,33525,RN,Hospice,0,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:37,7/14/16 3:55,38
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Daphne,Alabama,36526,RN,ICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 3:49,7/14/16 3:49,144
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Visalia,California,93291,RN,PEDS,0,11/10/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:11,7/14/16 5:03,208
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Brownsburg,Indiana,46112,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 8:43,7/14/16 8:43,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lakewood,Ohio,44107,RN,ONCOLOGY,2,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:32,7/14/16 13:12,38
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Overland Park,Kansas,66213,PHARM Tech,Other,0,,No,No,No,Yes,Health Jobs,LABOR_EDGE,PROSPECT,9/18/15 14:07,7/14/16 8:46,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Snellville,Georgia,30078,PHARM,Other,,1/1/00,No,No,No,Yes,Health Jobs,LABOR_EDGE,PROSPECT,9/18/15 13:44,7/14/16 9:03,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Jacksonville,Florida,32216,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 8:17,7/14/16 8:17,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Knox,Indiana,46534,RN,Rehab,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/14/16 14:14,7/14/16 14:14,217
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lombard,Illinois,60148,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/14/16 5:02,7/14/16 5:02,371
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Savannah,Georgia,31419,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:53,7/14/16 9:53,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Piqua,Ohio,45356,RN,PSYCH,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 12:44,7/14/16 12:44,71
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Jacksonville,Florida,32225,PHARM Tech,Other,26,,No,No,No,Yes,Health Jobs,LABOR_EDGE,PROSPECT,9/18/15 14:24,7/14/16 7:51,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Portland,Oregon,97213,RN,Ortho,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/14/16 4:09,7/14/16 4:09,23
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Jonesboro,Georgia,30238,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:14,7/14/16 9:14,
Yes,Yes,Yes,Yes,No,No,H,Yes,Yes,Yes,Yes,Indianapolis,Indiana,46222,RN,Case Manager,2,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:02,7/14/16 12:24,131
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Fortville,Indiana,46040,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 8:42,7/14/16 8:42,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Kingsland,Georgia,31548,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 11:59,7/14/16 11:59,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Hamilton,Ohio,45011,RN,Case Manager,15,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:28,7/14/16 13:29,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Windsor Mill,Maryland,21244,RN,ER,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 3:26,7/14/16 3:26,114
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Beverly Hills,Florida,34465,RN,OR,20,7/26/16,No,Yes,No,Yes,Jobs2Careers,STAFFDNA,,7/14/16 15:41,7/14/16 16:43,43
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Pocomoke City,Maryland,21851,RN,MS,6,6/16/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:04,7/14/16 4:03,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Miami,Florida,33177,LPN,Other,1,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:06,7/14/16 14:17,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Jacksonville,Florida,32216,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 7:56,7/14/16 7:56,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Byram,Mississippi,39272,RN,Case Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,4/19/16 7:05,7/14/16 3:46,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Stoutsville,Ohio,43154,RN,Home Health,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 13:50,7/14/16 13:50,185
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,NEW ALBANY,Indiana,47150,RN,ICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 4:33,7/14/16 4:33,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,WAYCROSS,Georgia,31503,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:39,7/14/16 9:39,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Aurora,Indiana,47001,RN,ICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 12:29,7/14/16 12:29,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Chicago,Illinois,60613,RN,MS,,,No,No,No,Yes,Career Builder,DATA_ENTRY,NEW_GRAD,7/14/16 3:44,7/14/16 3:44,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Taylor,Michigan,48180,RN,ICU,,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 18:52,7/14/16 4:55,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lakeland,Florida,33801,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 8:15,7/14/16 8:15,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Punta Gorda,Florida,33950,RN,Manager,25,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:59,7/14/16 14:18,54
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Fairfield,Ohio,45014,RN,TELE,0,8/18/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:54,7/14/16 13:42,120
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Hamilton,Ohio,45013,RN,Manager,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 14:09,7/14/16 14:09,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lanham,Maryland,20706,RN,ONCOLOGY,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 4:59,7/14/16 4:59,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Milton,Vermont,5468,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:50,7/14/16 9:50,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Great Neck,New York,11023,RN,L&D,,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:14,7/14/16 4:39,33
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Piqua,Ohio,45356,RN,Rehab,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 12:41,7/14/16 12:41,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Hauppauge,New York,11788,RN,ICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 4:07,7/14/16 4:07,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Lilburn,Georgia,30047,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:11,7/14/16 9:11,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,Dallas,Texas,75243,RN,ICU,5,,No,Yes,Yes,Yes,Jobs2Careers,STAFFDNA,,9/18/15 14:02,7/14/16 0:45,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Apopka,Florida,32703,PHARM,Manager,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 8:39,7/14/16 8:39,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Hutchinson,Kansas,67502,RN,Home Health,14,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:35,7/14/16 3:56,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Maumee,Ohio,43537,RN,PSYCH,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 3:21,7/14/16 3:21,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Indianola,Iowa,50125,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 14:41,7/14/16 14:41,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Bethel,Ohio,45106,RN,MS,1,10/20/11,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/19/15 13:04,7/14/16 13:28,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Oxford,Ohio,45056,RN,ENDO,6,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 14:41,7/14/16 13:59,10
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,OLDSMAR,Florida,34677,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 7:48,7/14/16 7:48,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Marietta,Georgia,30068,PHARM,Other,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 11:52,7/14/16 11:52,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Cleves,Ohio,45002,RN,ICU,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 13:41,7/14/16 13:41,
Yes,No,Yes,Yes,No,No,,Yes,No,Yes,No,New Brunswick ,New Jersey,8903,RN,"Pre Op, Post Op, Same Day Surgery",26,7/14/16,No,Yes,No,Yes,Jobs2Careers,STAFFDNA,,9/19/15 13:03,7/14/16 18:13,6
Yes,Yes,Yes,Yes,No,No,H,Yes,Yes,Yes,Yes,Saratoga Springs,New York,12866,PHARM Tech,Other,5,,No,No,No,Yes,Health Jobs,LABOR_EDGE,PROSPECT,9/18/15 14:24,7/14/16 9:40,
Yes,Yes,Yes,Yes,No,No,H,Yes,Yes,Yes,Yes,Liberty Township,Ohio,45044,RN,TELE,22,,No,No,No,Yes,Career Builder,LABOR_EDGE,PROSPECT,9/18/15 13:57,7/14/16 13:43,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Chicago,Illinois,60707,RN,ER,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 4:29,7/14/16 4:29,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Valdosta,Georgia,31605,PHARM,Director,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 9:36,7/14/16 9:36,50
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Scarborough,Maine,4074,PHARM,Manager,,,No,No,No,Yes,Health Jobs,DATA_ENTRY,PROSPECT,7/14/16 12:27,7/14/16 12:27,
Yes,Yes,Yes,Yes,No,No,C,Yes,Yes,Yes,Yes,Wintersprings,Florida,32708,RN,ENDO,,,No,No,No,Yes,Career Builder,DATA_ENTRY,PROSPECT,7/14/16 3:42,7/14/16 3:42,
