preferred_region,Candidate_Count
Alabama,100
Alaska,25
Arizona,143
Arkansas,44
California,428
Colorado,59
Connecticut,93
Delaware,40
Florida,641
Georgia,146
Hawaii,37
Idaho,14
Illinois,198
Indiana,338
Iowa,39
Kansas,56
Kentucky,94
Louisiana,87
Maine,22
Maryland,149
Massachusetts,96
Michigan,232
Minnesota,49
Mississippi,77
Missouri,75
Montana,11
Nebraska,26
Nevada,50
New Hampshire,22
New Jersey,155
New Mexico,35
New York,232
North Carolina,144
North Dakota,11
Ohio,265
Oklahoma,34
Oregon,32
Other,16
Pennsylvania,201
Rhode Island,18
South Carolina,103
South Dakota,13
Tennessee,132
Texas,351
Utah,18
Vermont,14
Virginia,86
Washington,44
Washington D.C,11
West Virginia,31
Wisconsin,68
Wyoming,9
