Profession,Speciality
CRNA,Manager
CRNA,ICU
CRNA,Director
CRNA,PEDS
CRNA,Other
CRNA,OR
CRNA,PACU
CRNA,OB
CRNA,Cardiac
CRNA,Neuro
CRNA,Trauma
CRNA,General
LPN,MED SURG
LPN,Other
LPN,LTC
LPN,ER
LPN,TELE
LPN,Home Health
LPN,Nursery
LPN,PEDS
LPN,ONCOLOGY
LPN,ICU
LPN,Mother Baby
LPN,Post Partum
LPN,PSYCH
LPN,LAB & DELIV
LPN,IV Ther
LPN,OR
LPN,Float
LPN,Other
LPN,OCUP
LPN,Triage
LPN,Trauma
LPN,NICU
LPN,Manager
LPN,DIALYSIS
LPN,Case Manager
LPN,Radiology
LPN,Director
LPN,Utilization Review
LPN,PACU
LPN,CVICU
LPN,ENDO
LPN,Burn
LPN,Inpatient
LVN,Post Partum
LVN,MED SURG
LVN,Other
LVN,DIALYSIS
LVN,TELE
LVN,Home Health
LVN,PEDS
LVN,ER
LVN,PSYCH
LVN,LAB & DELIV
LVN,Triage
LVN,OR
LVN,ICU
LVN,ONCOLOGY
LVN,School
LVN,LTC
LVN,IV Ther
LVN,Radiology
LVN,Utilization Review
LVN,Manager
LVN,Case Manager
LVN,PACU
LVN,NICU
LVN,Other
LVN,Mother Baby
LVN,Nursery
LVN,CVICU
MLT,Other
MLT,Director
MLT,Phlebotomy
MT,Other
MT,Director
MT,Phlebotomy
NP,Acute Care
NP,Adult Medicine
NP,Family
NP,Gastroenterology
NP,General Surgery
NP,Geriatric
NP,Hospitalist
NP,Internal Medicine
NP,Neonatal
NP,Occupational Health
NP,Oncology
NP,Other
NP,Pediatrics
NP,Psychiatry
NP,School Based
NP,Women’s Healthcare
NP,Gastrointestinal
NP,CVICU
NP,Orthopaedic
NP,IV Ther
NP,Trauma
NP,Academic
NP,PICU
NP,Pain Management
NP,Anesthesiology/CRNA
NP,Surgery
NP,Cardiology
NP,Occupational Medicine
NP,LTC
NP,PACU
NP,Sleep
NP,Neurology
NP,MED SURG
NP,Pediatric
NP,OB GYN
NP,Triage
NP,Radiology
NP,Case Manager
NP,Infectious Disease
NP,Emergency Medicine
NP,Endocrinology
NP,Home Health
NP,Cath Lab
NP,Director
NP,Mother Baby
NP,Float
NP,Urgent Care
NP,Physical Medicine/Rehab
NP,Transplant
NP,Hospice
NP,Nephrology
NP,Otolaryngology
NP,Aeromedical
NP,TELE
NP,FP/Multi/General
NP,Manager
NP,Critical Care
NP,Dermatology
NP,DIALYSIS
NP,ENDO
NP,Geriatrics
NP,LAB & DELIV
NP,Post Partum
NP,Urology
OT,Other
OT,Director
OT,Manager
OT,Home Health
OT,Inpatient
OT,Outpatient
OT,Rehab
OT,SNF
OT,Acute Care
OT,PEDS
OT,Interventional Radiology
OT,School
PA,ICU
PA,ER
PA,PEDS
PA,Other
PA,OCUP
PA,PSYCH
PA,MED SURG
PA,Home Health
PA,Radiology
PA,OR
PA,Academic
PA,Cardiology
PA,Critical Care
PA,Dermatology
PA,Emergency Medicine
PA,Endocrinology
PA,OB GYN
PA,Occupational Medicine
PA,Orthopaedic
PA,Pain Management
PA,Pediatric
PA,Physical Medicine/Rehab
PA,Surgery
PA,Urgent Care
PA,Urology
PA,Hospice
PA,Oncology
PA,Otolaryngology
PA,Aeromedical
PA,Psychiatry
PA,Pulmonolgy
PA,Anesthesiology
PA,Internal Medicine
PA,Gastroenterology
PA,Allergy/Immunology
PA,Hospitalist
PA,Hematology
PA,Nephrology
PA,Neonatal
PA,Geriatrics
PHARM,Other
PHARM,Manager
PHARM,Director
PHARM Tech,Other
PHARM Tech,Manager
Polysomnography Tech,Other
PT,Other
PT,Director
PT,Manager
PT,Inpatient
PT,Outpatient
PT,SNF
PT,Rehab
PT,Home Health
PT,Acute Care
PT,PEDS
PT,Plastic Surgery
PT,School
PT Assistant,Other
PT Assistant,Manager
PT Assistant,Home Health
PT Assistant,Inpatient
PT Assistant,Outpatient
PT Assistant,Rehab
PT Assistant,SNF
PT Assistant,Acute Care
PT Assistant,PEDS
PT Assistant,School
RadTech,ALLIED-NUC MED
RadTech,ALLIED-CATH LAB
RadTech,ALLIED-SPECIAL PROCEDURES
RadTech,ALLIED-VASCULAR
RadTech,ALLIED-X RAY
RadTech,ALLIED-MRI
RadTech,ALLIED-ECHO
RadTech,ALLIED-ULTRASOUND
RadTech,Manager
RadTech,ALLIED-CT SCAN
RadTech,ALLIED-MAMMO
RadTech,Director
RadTech,Nuc Med
RadTech,ALLIED-RADIATION THERAPY
RadTech,Interventional Radiology
Resp Therapist,Other
Resp Therapist,ER
Resp Therapist,ICU
Resp Therapist,Manager
Resp Therapist,PEDS
Resp Therapist,Director
Resp Therapist,NICU
Resp Therapist,PICU
RN,ICU
RN,MS
RN,IV Ther
RN,Mother Baby
RN,PEDS
RN,Other
RN,Case Manager
RN,L&D
RN,PSYCH
RN,NICU
RN,OR
RN,ER
RN,Home Health
RN,TELE
RN,PACU
RN,Post Partum
RN,LTC
RN,Radiology
RN,Cath Lab
RN,Manager
RN,CVICU
RN,DIALYSIS
RN,Nursery
RN,ONCOLOGY
RN,PICU
RN,Burn
RN,ENDO
RN,CVOR
RN,Float
RN,Quality Assurance
RN,Utilization Review
RN,Other
RN,OCUP
RN,Transplant
RN,School
RN,Triage
RN,Director
RN,Trauma
RN,Ortho
RN,StepDown
RN,PEDS-ER
RN,RNFA
RN,OB
RN,ASU
RN,Gastroenterology
RN,Gastrointestinal
RN,Educator
RN,Geriatrics
RN,Chemical Dependency
RN,Clinical Research
RN,Corrections
RN,Hospice
RN,Infection Control
RN,Informatics
RN,PEDS-OR
RN,"Pre/Post Op, Same Day Surgery"
RN,Rehab
RN,Telephonic
RN,Wound Care
RN,Wound Care
RN,Clinical Research
RN,Infection Control
RN,Geriatrics
RN,Case Manager - Home Health/Hospice
RN,Manager – Med Surg/Tele
RN,Informatics
RN,Case Manager - Insurance/Managed Care
RN,Director - Home Health
RN,Public Health
RN,Manager – OR
RN,PCU/IMC
RN,"Pre Op, Post Op, Same Day Surgery"
RN,PEDS - ER
RN,House Supervisor
RN,Corrections
RN,Clinic/Dr.Office
RN,Rehab
RN,Palliative Care
RN,Float Pool
RN,Educator
RN,General Practice
RN,PEDS OR
RN,Clinical Documentation Specialist
RN,Director – Critical Care
RN,Director – Emergency Services
RN,Director - LTC
RN,Director of Case Management
RN,Telephonic
RN,Hospice
RN,Director - Skilled Nursing Facility
SLP,Other
SLP,School
SLP,Manager
SLP,Director
SLP,Home Health
SLP,Inpatient
SLP,Outpatient
SLP,Rehab
SLP,SNF
SLP,Acute Care
Non Certified SurgTech,ST-OR
Non Certified SurgTech,ST-CVOR
Non Certified SurgTech,ST-L&D
Non Certified SurgTech,ST-ENDO
Non Certified SurgTech,ST-Other
Non Certified SurgTech,ST-SurgTech
Non Certified SurgTech,ST-Sterile Processing Tech
Non Certified SurgTech,ST-First Assist
Other,Other
CNA,Other
CNA,LTC
CNA,Other
CNA,MS
CNA,ICU
CNA,PACU
CNA,Home Health
CNA,ER
CNA,CVICU
CNA,LAB & DELIV
CNA,IV Ther
CNA,Rehab
CNA,OR
CNA,Acute
CNA,Ortho
CNA,PSYCH
CNA,PEDS
CNA,TELE
CNA,Trauma
CNA,NICU
CNA,Mother/Baby
CNA,ONCOLOGY
COTA,Other
COTA,Manager
COTA,Home Health
COTA,Inpatient
COTA,Outpatient
COTA,Rehab
COTA,SNF
COTA,Acute Care
COTA,PEDS
COTA,School
SLPA,Other
SLPA,School
SLPA,Manager
SLPA,Director
SLPA,Home Health
SLPA,Inpatient
SLPA,Outpatient
SLPA,Rehab
SLPA,SNF
SLPA,Acute Care
DO,Allergy & Immunology
DO,Anesthesiology
DO,Cardiology
DO,Cardiology Non-Invasive
DO,Cardiothoracic Surgery
DO,Critical Care Medicine
DO,Dermatology
DO,Emergency Medicine
DO,Emergency Medicine - Pediatric
DO,ENT Otolaryngology
DO,Family Medicine
DO,Gastroenterology
DO,General Surgery
DO,Hematology/Oncology
DO,Hospice and Palliative Care
DO,Hospitalist
DO,Hospitalist - Pediatric
DO,Infectious Disease
DO,Internal Medicine
DO,Neonatology
DO,Nephrology
DO,Neuro Hospitalist
DO,Neurology
DO,Neurosurgery
DO,Obstetrics and Gynecology
DO,Occupational Medicine
DO,Oncology
DO,Ophthalmology
DO,Oral & Maxillofacial Surgery
DO,Orthopedic Surgery
DO,Pathology
DO,Pediatric Critical Care
DO,Pediatric Endocrinology
DO,Pediatric Gastroenterology
DO,Pediatric Neurology
DO,Pediatrics
DO,Perinatology
DO,Physical Medicine and Rehabilitation
DO,Plastic Surgery
DO,Psychiatry - Adult
DO,Psychiatry - Child & Adolescent
DO,Pulmonary Critical Care
DO,Pulmonary Disease
DO,Radiation Oncology
DO,Radiology
DO,Rheumatology
DO,Trauma Surgery
DO,Urgent Care
DO,Urology
DO,Vascular Surgery
MD,Allergy & Immunology
MD,Anesthesiology
MD,Cardiology
MD,Cardiology Non-Invasive
MD,Cardiothoracic Surgery
MD,Critical Care Medicine
MD,Dermatology
MD,Emergency Medicine
MD,Emergency Medicine - Pediatric
MD,ENT Otolaryngology
MD,Family Medicine
MD,Gastroenterology
MD,General Surgery
MD,Hematology/Oncology
MD,Hospice and Palliative Care
MD,Hospitalist
MD,Hospitalist - Pediatric
MD,Infectious Disease
MD,Internal Medicine
MD,Neonatology
MD,Nephrology
MD,Neuro Hospitalist
MD,Neurology
MD,Neurosurgery
MD,Obstetrics and Gynecology
MD,Occupational Medicine
MD,Oncology
MD,Ophthalmology
MD,Oral & Maxillofacial Surgery
MD,Orthopedic Surgery
MD,Pathology
MD,Pediatric Critical Care
MD,Pediatric Endocrinology
MD,Pediatric Gastroenterology
MD,Pediatric Neurology
MD,Pediatrics
MD,Perinatology
MD,Physical Medicine and Rehabilitation
MD,Plastic Surgery
MD,Psychiatry - Adult
MD,Psychiatry - Child & Adolescent
MD,Pulmonary Critical Care
MD,Pulmonary Disease
MD,Radiation Oncology
MD,Radiology
MD,Rheumatology
MD,Trauma Surgery
MD,Urgent Care
MD,Urology
MD,Vascular Surgery
Certified SurgTech,ST-OR
Certified SurgTech,ST-CVOR
Certified SurgTech,ST-L&D
Certified SurgTech,ST-ENDO
Certified SurgTech,ST-Other
Certified SurgTech,ST-SurgTech
Certified SurgTech,ST-Sterile Processing Tech
Certified SurgTech,ST-First Assist
Clinical Nurse Specialist,Acute Care
Clinical Nurse Specialist,Adult Medicine
Clinical Nurse Specialist,Behavioral Health
Clinical Nurse Specialist,Critical Care
Clinical Nurse Specialist,Educator / Training
Clinical Nurse Specialist,Emergency Medicine
Clinical Nurse Specialist,Family
Clinical Nurse Specialist,Gastroenterology
Clinical Nurse Specialist,General Surgery
Clinical Nurse Specialist,Genetics
Clinical Nurse Specialist,Geriatric
Clinical Nurse Specialist,Hospitalist
Clinical Nurse Specialist,Internal Medicine
Clinical Nurse Specialist,Neonatal
Clinical Nurse Specialist,Occupational Health
Clinical Nurse Specialist,Oncology
Clinical Nurse Specialist,Other
Clinical Nurse Specialist,Pediatrics
Clinical Nurse Specialist,Psychiatry
Clinical Nurse Specialist,Women's Healthcare
Student/New Graduate,Student/New Graduate
